alias,normalized_name,company_key,relationship_type,management_type,role,designation
. Mohammed Hindi Shujaa Al-Otaibi,. Mohammed Hindi Shujaa Al-Otaibi,2100-en,board_member,board_of_directors,Independent,Board of Directors
. الأستاذ/ سعد بن عبدالعزيز بن عبد الوهاب الكرود,. الأستاذ/ سعد بن عبدالعزيز بن عبد الوهاب الكرود,3050-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
Aamer Abdullah Alireza,Aamer Abdullah Alireza,2190-en,board_member,board_of_directors,Non - Executive,Chairman
Abd al-Wahhab bin Muhammad Saad al-Ajroush,Abd al-Wahhab bin Muhammad Saad al-Ajroush,9546-en,board_member,board_of_directors,Non - Executive,Chairman
Abdallah Abdulmalik Abdullah Alshaikh,Abdallah Abdulmalik Abdullah Alshaikh,4260-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdallah Saad Abdallah Aldosary,Abdallah Saad Abdallah Aldosary,1301-en,board_member,board_of_directors,Executive,Board of Directors
Abdalmajeed Abdulrhman Naser Al-duliami,Abdalmajeed Abdulrhman Naser Al-duliami,9579-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdel-Salam Bdeir,Abdel-Salam Bdeir,4008-en,board_member,senior_executive,CEO,Senior Executives
Abdel Muhsen Jaber,Abdel Muhsen Jaber,8180-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdelaziz Meteb Alrasheed,Abdelaziz Meteb Alrasheed,1833-en,board_member,board_of_directors,Independent,Board of Directors
Abdelelah Bin Salem Bin Ahmed Bin Mahfouz,Abdelelah Bin Salem Bin Ahmed Bin Mahfouz,4164-en,board_member,board_of_directors,Non - Executive,Board of Directors
AbdelFattah Mamdouh AlAssi,AbdelFattah Mamdouh AlAssi,4265-en,board_member,senior_executive,CFO,Senior Executives
Abdelhalim Abdalla Abdelhai Ahmed Nour,Abdelhalim Abdalla Abdelhai Ahmed Nour,9571-en,board_member,senior_executive,CFO,Senior Executives
abdelhmid hosny abdelhmid     ibrahim,abdelhmid hosny abdelhmid     ibrahim,1301-en,board_member,senior_executive,CFO,Senior Executives
Abdelmohsen abdelftah abdelmohsi,Abdelmohsen abdelftah abdelmohsi,9576-en,board_member,senior_executive,CFO,Senior Executives
Abdelwahab Musab A. Abukwaik,Abdelwahab Musab A. Abukwaik,8260-en,board_member,board_of_directors,Independent,Board of Directors
Abduallah Jameel Taibah,Abduallah Jameel Taibah,4210-en,board_member,board_of_directors,Independent,Board of Directors
abduaziz bin muhammed batarfi,abduaziz bin muhammed batarfi,2110-en,board_member,senior_executive,CFO,Senior Executives
Abdul Aziz Abdullah Ibrahim Al-Faqih,Abdul Aziz Abdullah Ibrahim Al-Faqih,9547-en,board_member,board_of_directors,Independent,Board of Directors
Abdul Aziz Ali Abussuud,Abdul Aziz Ali Abussuud,8100-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdul Aziz Ali Al-Hudaib,Abdul Aziz Ali Al-Hudaib,9510-en,board_member,board_of_directors,Independent,Board of Directors
Abdul aziz Ali Al Turki,Abdul aziz Ali Al Turki,8120-en,board_member,board_of_directors,Non - Executive,Chairman
Abdul Aziz Majid Abdullah Al-Qasabi,Abdul Aziz Majid Abdullah Al-Qasabi,9566-en,board_member,board_of_directors,Non - Executive,Chairman
Abdul Aziz Talal Ali Altamimi,Abdul Aziz Talal Ali Altamimi,1210-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdul Ghani Abdul Samad,Abdul Ghani Abdul Samad,1323-en,board_member,senior_executive,CFO,Senior Executives
Abdul Karim bin Abdul Rahman AlAgil,Abdul Karim bin Abdul Rahman AlAgil,4190-en,board_member,senior_executive,Deputy Chairman - Executive,Senior Executives
Abdul Karim bin Abdul Rahman AlAgil,Abdul Karim bin Abdul Rahman AlAgil,4190-en,board_member,board_of_directors,Deputy Chairman - Executive,Board of Directors
Abdul Latif Omar bin  Sulaiman  Al-Abdul Latif,Abdul Latif Omar bin  Sulaiman  Al-Abdul Latif,9516-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdul Majeed bin Suleiman Al-Dakhil,Abdul Majeed bin Suleiman Al-Dakhil,4192-en,board_member,board_of_directors,Independent,Board of Directors
Abdul Malik bin Abdul Rahman Abdullah Al Sheikh,Abdul Malik bin Abdul Rahman Abdullah Al Sheikh,4290-en,board_member,board_of_directors,Independent,Board of Directors
Abdul Malik Rasheed Abdul Rahman Al-Rasheed,Abdul Malik Rasheed Abdul Rahman Al-Rasheed,4327-en,board_member,senior_executive,CFO,Senior Executives
Abdul Malik Rasheed Abdul Rahman Al-Rasheed,Abdul Malik Rasheed Abdul Rahman Al-Rasheed,4327-en,board_member,board_of_directors,Executive,Board of Directors
Abdul Rahman Abdul Aziz Abdul Rahman Thanyan Al-Obeikan,Abdul Rahman Abdul Aziz Abdul Rahman Thanyan Al-Obeikan,9647-en,board_member,board_of_directors,Non - Executive,Chairman
abdul rahman abdul mohsen hamad almansour,abdul rahman abdul mohsen hamad almansour,9587-en,board_member,board_of_directors,Independent,Board of Directors
Abdul Rahman Hassan Abdul Rahman Al-Amoudi,Abdul Rahman Hassan Abdul Rahman Al-Amoudi,6060-en,board_member,board_of_directors,Independent,Board of Directors
Abdul Rahman Ibrahim Suleiman Al-Odhaibi,Abdul Rahman Ibrahim Suleiman Al-Odhaibi,9553-en,board_member,board_of_directors,Non - Executive,Chairman
Abdul Rahman Muhammad Halil Al-Maliki,Abdul Rahman Muhammad Halil Al-Maliki,9647-en,board_member,board_of_directors,Executive,Board of Directors
Abdul Rahman Suleiman Al Yahya,Abdul Rahman Suleiman Al Yahya,2150-en,board_member,board_of_directors,Independent,Board of Directors
Abdularahman Mohammed Alodan,Abdularahman Mohammed Alodan,7203-en,board_member,board_of_directors,Independent,Board of Directors
Abdulatif Abdulrhman Naser Al-duliami,Abdulatif Abdulrhman Naser Al-duliami,9579-en,board_member,board_of_directors,Executive,Board of Directors
Abdulatif Ali Abdulatif AlFozan,Abdulatif Ali Abdulatif AlFozan,4083-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulatif Ali Alseif,Abdulatif Ali Alseif,1030-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulatif Bin Ali Al-Seif,Abdulatif Bin Ali Al-Seif,4164-en,board_member,board_of_directors,Independent,Board of Directors
ABDULAZEZ IBRAHEM ABDULLAH ALBABTAIN,ABDULAZEZ IBRAHEM ABDULLAH ALBABTAIN,9549-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz  M AlShaikh,Abdulaziz  M AlShaikh,2286-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz  Tariq Al-Bassam,Abdulaziz  Tariq Al-Bassam,9566-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdulaziz Abdul Karim El Khereiji,Abdulaziz Abdul Karim El Khereiji,8240-en,board_member,board_of_directors,Executive,Board of Directors
Abdulaziz Abdulhamid Albassam,Abdulaziz Abdulhamid Albassam,8200-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Abdulla Abdulaziz Alnaim,Abdulaziz Abdulla Abdulaziz Alnaim,1210-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz Abdullah Abdulaziz Al-Muqaytib,Abdulaziz Abdullah Abdulaziz Al-Muqaytib,9617-en,board_member,board_of_directors,Independent,Chairman
Abdulaziz Abdullah Abdulaziz Al Mohareb,Abdulaziz Abdullah Abdulaziz Al Mohareb,9602-en,board_member,senior_executive,CFO,Senior Executives
Abdulaziz Abdullah Abdulaziz AlEssa,Abdulaziz Abdullah Abdulaziz AlEssa,2286-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz Abdullah Al Naim,Abdulaziz Abdullah Al Naim,8120-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Abdullah Alhumaid,Abdulaziz Abdullah Alhumaid,6050-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulaziz Abdullah Mohammad Alhumaid,Abdulaziz Abdullah Mohammad Alhumaid,6020-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulaziz Abdullah Omar Dhaheish,Abdulaziz Abdullah Omar Dhaheish,9650-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz Abdullatif Ali Aldulaijan,Abdulaziz Abdullatif Ali Aldulaijan,3003-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Abdulrahman  Al-Muhaiza,Abdulaziz Abdulrahman  Al-Muhaiza,5110-en,board_member,senior_executive,CFO,Senior Executives
Abdulaziz Abdulrahman Abdulaziz AlRashed,Abdulaziz Abdulrahman Abdulaziz AlRashed,1324-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Abdulrahman Abdullah Alfurayan,Abdulaziz Abdulrahman Abdullah Alfurayan,9625-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdulaziz Abdulrahman Al Khonin,Abdulaziz Abdulrahman Al Khonin,3080-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz abdulrahman Al shamekh,Abdulaziz abdulrahman Al shamekh,2001-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Abdulrahman Alsheikh,Abdulaziz Abdulrahman Alsheikh,8200-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Abdulrahman Muhammad Al-Dhiab,Abdulaziz Abdulrahman Muhammad Al-Dhiab,9553-en,board_member,senior_executive,CEO,Senior Executives
Abdulaziz Ahmed Alnaim,Abdulaziz Ahmed Alnaim,5110-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Ali Abdulaziz Al Turki,Abdul aziz Ali Al Turki,6020-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Ali Abdulaziz Almasood,Abdulaziz Ali Abdulaziz Almasood,2200-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Ali al-Saif,Abdulaziz Ali al-Saif,2150-en,board_member,board_of_directors,Independent,Board of Directors
ABDULAZIZ ALI M TUBAYQI,ABDULAZIZ ALI M TUBAYQI,9612-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz Amer Alamer,Abdulaziz Amer Alamer,9630-en,board_member,senior_executive,CEO,Senior Executives
Abdulaziz bin Abdullah AlHamid,Abdulaziz bin Abdullah AlHamid,4144-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulaziz Bin Abdulrahman Bin  n Mohammed Al Omran,Abdulaziz Bin Abdulrahman Bin  n Mohammed Al Omran,6017-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdulaziz bin Hamad bin Abdulaziz Alkhorayef,Abdulaziz bin Hamad bin Abdulaziz Alkhorayef,2081-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz bin Mohammed Al Suwaidan,Abdulaziz bin Mohammed Al Suwaidan,3003-en,board_member,senior_executive,CFO,Senior Executives
Abdulaziz bin Mohammed bin Abdullah AlFakhri,Abdulaziz bin Mohammed bin Abdullah AlFakhri,2081-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz bin Mohammed bin Abdulrahman Al-Babtain,Abdulaziz bin Mohammed bin Abdulrahman Al-Babtain,9564-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz bin Raed Al-Mishaal,Abdulaziz bin Raed Al-Mishaal,2300-en,board_member,senior_executive,CEO,Senior Executives
Abdulaziz bin Raed Al-Mishaal,Abdulaziz bin Raed Al-Mishaal,2300-en,board_member,board_of_directors,Executive,Board of Directors
Abdulaziz bin Rashed Abdulrahman Alrashed,Abdulaziz bin Rashed Abdulrahman Alrashed,4290-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulaziz Bin Saleh Bin Ali Alnasser,Abdulaziz Bin Saleh Bin Ali Alnasser,9581-en,board_member,board_of_directors,Executive,Board of Directors
Abdulaziz Bin Saleh Bin Ali Alnasser,Abdulaziz Bin Saleh Bin Ali Alnasser,9581-en,board_member,senior_executive,CEO,Senior Executives
Abdulaziz Edah Al Kathiry,Abdulaziz Edah Al Kathiry,1831-en,board_member,senior_executive,CEO,Senior Executives
ABDULAZIZ HAMAD BIN SAIDAN,ABDULAZIZ HAMAD BIN SAIDAN,9648-en,board_member,board_of_directors,Executive,Board of Directors
Abdulaziz Hamad Mohammad Almousa,Abdulaziz Hamad Mohammad Almousa,9521-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Hamad Mohammed Bin Saedan,Abdulaziz Hamad Mohammed Bin Saedan,9648-en,board_member,senior_executive,CEO,Senior Executives
Abdulaziz Hasheem Ashwee Alanazi,Abdulaziz Hasheem Ashwee Alanazi,4009-en,board_member,board_of_directors,Independent,Chairman
Abdulaziz Hatem Ali Aljuffali,Abdulaziz Hatem Ali Aljuffali,3030-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Hushaim Ashwi Al-Anazi,Abdulaziz Hushaim Ashwi Al-Anazi,9544-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Ibrahem Mohammed Alyahya,Abdulaziz Ibrahem Mohammed Alyahya,9594-en,board_member,board_of_directors,Executive,Board of Directors
Abdulaziz Ibrahem Mohammed Alyahya,Abdulaziz Ibrahem Mohammed Alyahya,9594-en,board_member,senior_executive,CEO,Senior Executives
Abdulaziz Ibrahim Abdullah Al babtain,Abdulaziz Ibrahim Abdullah Al babtain,2320-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdulaziz Ibrahim Abdullah Bin Salamah,Abdulaziz Ibrahim Abdullah Bin Salamah,7205-en,board_member,board_of_directors,Executive,Board of Directors
Abdulaziz Ibrahim Alkhamis,Abdulaziz Ibrahim Alkhamis,4146-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Ibrahim Alnowaiser,Abdulaziz Ibrahim AlNowaiser,4220-en,board_member,senior_executive,CEO,Senior Executives
Abdulaziz Ibrahim AlNowaiser,Abdulaziz Ibrahim AlNowaiser,8010-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz ibrahim AlRuqaie,Abdulaziz ibrahim AlRuqaie,8100-en,board_member,senior_executive,CFO,Senior Executives
Abdulaziz Ibrahim Saad Almousa,Abdulaziz Ibrahim Saad Almousa,9521-en,board_member,board_of_directors,Deputy Chairman - Executive,Board of Directors
Abdulaziz Ibrahim Suleiman Al-Odhaibi,Abdulaziz Ibrahim Suleiman Al-Odhaibi,9553-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz K. ALGhofaily,Abdulaziz K. ALGhofaily,1120-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz M. Yamani,Abdulaziz M. Yamani,6001-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulaziz Majed Alkassabi,Abdulaziz Majed Alkassabi,1810-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz Mohammed Abdo Yamani,Abdulaziz Mohammed Abdo Yamani,4080-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulaziz Mohammed Abdulaziz Algabbani,Abdulaziz Mohammed Abdulaziz Algabbani,4324-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Mohammed Abdulaziz AlMousa,Abdulaziz Mohammed Abdulaziz AlMousa,4326-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz Mohammed Al Gudaimi,Abdulaziz Mohammed Al Gudaimi,1050-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Mohammed Ali Al Khalifa,Abdulaziz Mohammed Ali Al Khalifa,7201-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Mohammed AlSedeas,Abdulaziz Mohammed AlSedeas,8010-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Mohammed AlShaikh,Abdulaziz Mohammed AlShaikh,8010-en,board_member,senior_executive,CFO,Senior Executives
Abdulaziz Mohammed Ezzat,Abdulaziz Mohammed Ezzat,9552-en,board_member,senior_executive,CFO,Senior Executives
Abdulaziz Mohammed Hamad AlRugaib,Abdulaziz Mohammed Hamad AlRugaib,4193-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Muhammad Abdul Latif Al-Mulhim,Abdulaziz Muhammad Abdul Latif Al-Mulhim,4327-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Muhammad Abdulaziz Al-Hussan,Abdulaziz Muhammad Abdulaziz Al-Hussan,4163-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Mutaib Abdullah Al-Rasheed,Abdulaziz Mutaib Abdullah Al-Rasheed,4325-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz Nasser Abdulaziz Alsoryai,Abdulaziz Nasser Abdulaziz Alsoryai,1301-en,board_member,board_of_directors,Independent,Board of Directors
ABDULAZIZ NASSER AL SALEH,ABDULAZIZ NASSER AL SALEH,9648-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Omar Yousuf Khojah,Abdulaziz Omar Yousuf Khojah,9592-en,board_member,senior_executive,CEO,Senior Executives
Abdulaziz Omar Yousuf Khojah,Abdulaziz Omar Yousuf Khojah,9592-en,board_member,board_of_directors,Executive,Board of Directors
Abdulaziz Othman,Abdulaziz Othman,1201-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz Othman ALnasser,Abdulaziz Othman ALnasser,4265-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz Othman Mohamed Alnasser,Abdulaziz Othman Mohamed Alnasser,1833-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Salah Alarfaj,Abdulaziz Salah Alarfaj,9630-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz Saleh Abdulaziz Al Rashed,Abdulaziz Saleh Abdulaziz Al Rashed,1324-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulaziz Saleh Abdullah Al-Rebdi,Abdulaziz Saleh Abdullah Al-Rebdi,4145-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Saleh Al-Obaid,Abdulaziz Saleh Al-Obaid,4005-en,board_member,senior_executive,CEO,Senior Executives
Abdulaziz Saleh AlObaid,Abdulaziz Saleh Al-Obaid,4005-en,board_member,board_of_directors,Executive,Board of Directors
Abdulaziz Saleh Alomair,Abdulaziz Saleh Alomair,9527-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulaziz Subhi Muqat Aljuwair,Abdulaziz Subhi Muqat Aljuwair,9608-en,board_member,board_of_directors,Executive,Board of Directors
Abdulaziz Subhi Muqat Aljuwair,Abdulaziz Subhi Muqat Aljuwair,9608-en,board_member,senior_executive,CEO,Senior Executives
Abdulaziz Sulaiman Mohamed Alhudaithy,Abdulaziz Sulaiman Mohamed Alhudaithy,9611-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulaziz Sulaiman Saleh Al Obaid,Abdulaziz Sulaiman Saleh Al Obaid,4014-en,board_member,board_of_directors,Independent,Board of Directors
Abdulaziz Yousef Alsayegh,Abdulaziz Yousef Alsayegh,2282-en,board_member,senior_executive,CEO,Senior Executives
Abdulbari Mohammed,Abdulbari Mohammed,9583-en,board_member,senior_executive,CFO,Senior Executives
Abdulelah A. Sabbahi,Abdulelah A. Sabbahi,6001-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulelah Abdullah Abunayyan,Abdulelah Abdullah Abunayyan,1214-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulelah Abdulrahman Saleh AlKhereiji,Abdulelah Abdulrahman Saleh AlKhereiji,9645-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulelah Mohamed Abdulrahman Alasakr,Abdulelah Mohamed Abdulrahman Alasakr,2130-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulelah Mohammed A. Alnemr,Abdulelah Mohammed A. Alnemr,1830-en,board_member,board_of_directors,Executive,Board of Directors
Abdulelah Mohammed A. Alnemr,Abdulelah Mohammed A. Alnemr,1830-en,board_member,senior_executive,CEO,Senior Executives
Abdulelah Mohammed Alwabel,Abdulelah Mohammed Alwabel,6050-en,board_member,board_of_directors,Independent,Board of Directors
Abdulelah Mohammed Faraj Altunisi,Abdulelah Mohammed Faraj Altunisi,9541-en,board_member,board_of_directors,Independent,Board of Directors
Abdulelah Saad Aldrees,Abdulelah Saad Aldrees,4200-en,board_member,board_of_directors,Executive,Board of Directors
Abdulelah Saad Aldrees,Abdulelah Saad Aldrees,4200-en,board_member,senior_executive,CEO,Senior Executives
Abdulelah Saad Mohammed Al-Drees,Abdulelah Saad Mohammed Al-Drees,6018-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulelah Saad Mohammed Al-Drees,Abdulelah Saad Mohammed Al-Drees,9562-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulelah Saleh AL Shaikh,Abdulelah Saleh AL Shaikh,1183-en,board_member,board_of_directors,Independent,Board of Directors
Abdulellah Ahmad Saad Alhagbani,Abdulellah Ahmad Saad Alhagbani,9521-en,board_member,senior_executive,CEO,Senior Executives
Abdulfattah Abdullah Ahmed,Abdulfattah Abdullah Ahmed,9527-en,board_member,senior_executive,CEO,Senior Executives
AbdulHadi bin Ayed bin Saad Alqahtani,AbdulHadi bin Ayed bin Saad Alqahtani,9516-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulhameed Abdulaziz Mohamad Al-Ohali,Abdulhameed Abdulaziz Mohamad Al-Ohali,1302-en,board_member,board_of_directors,Independent,Board of Directors
Abdulhameed Al Muhaidib,Abdulhameed Al Muhaidib,2082-en,board_member,senior_executive,CFO,Senior Executives
Abduljabbar Abdulrahman Alabduljabbar,Abduljabbar Abdulrahman Alabduljabbar,9538-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulkareem Ibrahim Abdulkareem Al-Nafie,Abdulkareem Ibrahim Abdulkareem Al-Nafie,1302-en,board_member,board_of_directors,Independent,Board of Directors
Abdulkarem Hamad Abdullah Al-babtain,Abdulkarem Hamad Abdullah Al-babtain,2320-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulkarem Hamad Abdullah Alayuni,Abdulkarem Hamad Abdullah Alayuni,9611-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulkarim bin Abdulaziz AlDoaiji,Abdulkarim bin Abdulaziz AlDoaiji,9596-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Abdulkarim BIN Ibrahim Al Nafie,Abdulkarim BIN Ibrahim Al Nafie,7200-en,board_member,board_of_directors,Independent,Board of Directors
Abdulkarim Hamad Abdulkarim Alnujaidi,Abdulkarim Hamad Abdulkarim Alnujaidi,4145-en,board_member,board_of_directors,Independent,Board of Directors
Abdulkarim Ibraheem AlNafi,Abdulkarim Ibraheem AlNafi,1212-en,board_member,board_of_directors,Independent,Board of Directors
ABDULKARIM MOHAMED ALRAJHI,ABDULKARIM MOHAMED ALRAJHI,9513-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulkhaliq Abdullah Babakr Elhassan,Abdulkhaliq Abdullah Babakr Elhassan,2360-en,board_member,senior_executive,CFO,Senior Executives
AbdulKhaliq Dawood Ibrahim BinDawood,AbdulKhaliq Dawood Ibrahim BinDawood,4161-en,board_member,board_of_directors,Deputy Chairman - Executive,Board of Directors
Abdulla AlAbduljabbar,Abdulla AlAbduljabbar,2082-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdulla Mohammed Al Zamil,Abdulla Mohammed Al Zamil,2240-en,board_member,board_of_directors,Non - Executive,Chairman
Abdulla Muhanna Abul Aziz Al-Moaibed,Abdulla Muhanna Abul Aziz Al-Moaibed,1210-en,board_member,board_of_directors,Non - Executive,Chairman
ABDULLAH  ABDULAZEZ IBAHEM ALBABTAIN,ABDULLAH  ABDULAZEZ IBAHEM ALBABTAIN,9549-en,board_member,senior_executive,CFO,Senior Executives
Abdullah A. Al-Sinan,Abdullah A. Al-Sinan,2290-en,board_member,board_of_directors,Non- Executive,Board of Directors
Abdullah Abdul Rahman Thunayan Al Obeikan,Abdullah Abdul Rahman Thunayan Al Obeikan,4145-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Abdulaziz Abdullah Ababtain,Abdullah Abdulaziz Abdullah Ababtain,2283-en,board_member,senior_executive,CEO,Senior Executives
Abdullah Abdulaziz Abdullah Al Kanhal,Abdullah Abdulaziz Abdullah Al Kanhal,1834-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Abdulaziz Al-Abdulltif,Abdullah Abdulaziz Al-Abdulltif,3005-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Abdulaziz al-Tuwaijri,Abdullah Abdulaziz al-Tuwaijri,4019-en,board_member,board_of_directors,Non - Executive,Board of Directors
ABDULLAH ABDULAZIZ AlMASHAL,ABDULLAH ABDULAZIZ AlMASHAL,8070-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Abdulaziz Alromaizan,Abdullah Abdulaziz Alromaizan,1150-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Abdulaziz Bin Adwan,Abdullah Abdulaziz Bin Adwan,9538-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Abdulaziz Ibrahim Alosaili,Abdullah Abdulaziz Ibrahim Alosaili,9637-en,board_member,board_of_directors,Non - Executive,Chairman
Abdullah Abdulaziz Nasser AlZunaidi,Abdullah Abdulaziz Nasser AlZunaidi,7205-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Abdulhadi Abdullah Al-Qahtani,Abdullah Abdulhadi Abdullah Al-Qahtani,9523-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Abdulkareem Abdullah AlMunif,Abdullah Abdulkareem Abdullah AlMunif,9575-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Abdullatif Ahmad AlFozan,Abdullah Abdullatif Ahmad AlFozan,4322-en,board_member,board_of_directors,'-,Chairman
Abdullah Abdulrahman abdullah Al Shaikh,Abdullah AbdulRahman Abdullah Al Shaikh,3008-en,board_member,board_of_directors,Deputy Chairman - Independent,Board of Directors
Abdullah AbdulRahman Abdullah Al Shaikh,Abdullah AbdulRahman Abdullah Al Shaikh,9569-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah abdulrahman abdullah alshaikh,Abdullah AbdulRahman Abdullah Al Shaikh,9521-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Abdulrahman Abdulrazzaq Al-Saeed,Abdullah Abdulrahman Abdulrazzaq Al-Saeed,4084-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Abdulrahman Al-Rowais,Abdullah Abdulrahman Al-Rowais,1302-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Abdulrahman Almutlaq,Abdullah Abdulrahman Almutlaq,9538-en,board_member,senior_executive,CFO,Senior Executives
ABDULLAH ABDULRAHMAN ALOBEIKAN,ABDULLAH ABDULRAHMAN ALOBEIKAN,8070-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Abdulrahman Alrowais,Abdullah Abdulrahman Al-Rowais,1180-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Abdulrahman Alshwer,Abdullah Abdulrahman Alshwer,8280-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Abdulrahman Mohammed AlHaqbani,Abdullah Abdulrahman Mohammed AlHaqbani,9636-en,board_member,board_of_directors,Executive,Board of Directors
Abdullah Abdulrahman Mohammed AlHaqbani,Abdullah Abdulrahman Mohammed AlHaqbani,9636-en,board_member,senior_executive,CEO,Senior Executives
Abdullah adlan awad aladlan,Abdullah adlan awad aladlan,9579-en,board_member,board_of_directors,Non - Executive,Board of Directors
Abdullah Ahmad Al Shehri,Abdullah Ahmad Al Shehri,2250-en,board_member,board_of_directors,Independent,Board of Directors
Abdullah Ahmed Abdullah Balamash,Abdullah Ahmed Abdullah Balamash,9566-en,board_member,board_of_directors,Independent,Board of Directors
