alias,normalized_name,company_key,relationship_type,management_type,role,designation
عبدالوهاب سعيد عبدالله السيد,عبدالوهاب سعيد عبدالله السيد,4084-en,board_shareholding,,,Board of Directors
عبدالوهاب عبدالكريم عبدالرحمن البتيري,عبدالوهاب عبدالكريم عبدالرحمن البتيري,2170-ar,board_shareholding,,,أعضاء مجلس الإدارة
عبدالوهاب عبدالكريم عبدالرحمن البتيري,عبدالوهاب عبدالكريم عبدالرحمن البتيري,2170-en,board_shareholding,,,Board of Directors
عبدالوهاب عبدالكريم عبدالرحمن البتيري,عبدالوهاب عبدالكريم عبدالرحمن البتيري,4142-ar,board_shareholding,,,أعضاء مجلس الإدارة
عبدالوهاب عبدالكريم عبدالرحمن البتيري,عبدالوهاب عبدالكريم عبدالرحمن البتيري,4142-en,board_shareholding,,,Board of Directors
عبدالوهاب عبدالكريم عبدالرحمن البتيري,عبدالوهاب عبدالكريم عبدالرحمن البتيري,4260-ar,board_shareholding,,,أعضاء مجلس الإدارة
عبدالوهاب عبدالكريم عبدالرحمن البتيري,عبدالوهاب عبدالكريم عبدالرحمن البتيري,4260-ar,board_member,board_of_directors,نائب الرئيس - غير تنفيذي,أعضاء مجلس الإدارة
عبدالوهاب عبدالكريم عبدالرحمن البتيري,عبدالوهاب عبدالكريم عبدالرحمن البتيري,4260-en,board_shareholding,,,Board of Directors
عبدالوهاب عبدالكريم عبدالرحمن البتيري,عبدالوهاب عبدالكريم عبدالرحمن البتيري,6004-ar,board_shareholding,,,أعضاء مجلس الإدارة
عبدالوهاب عبدالكريم عبدالرحمن البتيري,عبدالوهاب عبدالكريم عبدالرحمن البتيري,6004-en,board_shareholding,,,Board of Directors
عبدالوهاب مصعب عبدالوهاب ابوكويك,عبدالوهاب مصعب عبدالوهاب ابوكويك,8260-ar,board_shareholding,,,أعضاء مجلس الإدارة
عبدالوهاب مصعب عبدالوهاب ابوكويك,عبدالوهاب مصعب عبدالوهاب ابوكويك,8260-en,board_shareholding,,,Board of Directors
عبدلله محمد الطحان,عبدلله محمد الطحان,6018-ar,board_shareholding,,,كبار التنفيذيين
عبدلله محمد الطحان,عبدلله محمد الطحان,6018-en,board_shareholding,,,Senior Executives
عبيد بن سعد بن عبيد الشريف,عبيد بن سعد بن عبيد الشريف,9634-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
عبيد بن وهيب بن سعيد بن زقر,عبيد بن وهيب بن سعيد بن زقر,8280-ar,substantial_shareholder,,,
عبيد بن وهيب بن سعيد بن زقر,عبيد بن وهيب بن سعيد بن زقر,8280-en,substantial_shareholder,,,
عبيد سعد عبيد الشماسي السبيعي,عبيد سعد عبيد الشماسي السبيعي,2030-ar,board_shareholding,,,رئيس مجلس الإدارة
عبيد سعد عبيد الشماسي السبيعي,عبيد سعد عبيد الشماسي السبيعي,2030-en,board_shareholding,,,Chairman
عبيد عبدالله الرشيد,عبيد عبدالله عبيد الرشيد,1183-ar,board_member,board_of_directors,نائب الرئيس - غير تنفيذي,أعضاء مجلس الإدارة
عبيد عبدالله عبيد الرشيد,عبيد عبدالله عبيد الرشيد,1080-ar,board_shareholding,,,كبار التنفيذيين
عبيد عبدالله عبيد الرشيد,عبيد عبدالله عبيد الرشيد,1080-ar,board_shareholding,,,أعضاء مجلس الإدارة
عبيد عبدالله عبيد الرشيد,عبيد عبدالله عبيد الرشيد,1080-en,board_shareholding,,,Senior Executives
عبيد عبدالله عبيد الرشيد,عبيد عبدالله عبيد الرشيد,1080-en,board_shareholding,,,Board of Directors
عبيد عبدالله عبيد الرشيد,عبيد عبدالله عبيد الرشيد,2230-ar,board_shareholding,,,أعضاء مجلس الإدارة
عبيد عبدالله عبيد الرشيد,عبيد عبدالله عبيد الرشيد,2230-en,board_shareholding,,,Board of Directors
عبيد عبدالله عبيد الرشيد,عبيد عبدالله عبيد الرشيد,4013-ar,board_shareholding,,,أعضاء مجلس الإدارة
عبيد عبدالله عبيد الرشيد,عبيد عبدالله عبيد الرشيد,4013-ar,board_member,board_of_directors,نائب الرئيس - مستقل,أعضاء مجلس الإدارة
عبيد عبدالله عبيد الرشيد,عبيد عبدالله عبيد الرشيد,4013-en,board_shareholding,,,Board of Directors
عبير بنت عبدالاله بن محمد كعكي,عبير بنت عبدالاله بن محمد كعكي,8300-ar,board_shareholding,,,أعضاء مجلس الإدارة
عبير بنت عبدالاله بن محمد كعكي,عبير بنت عبدالاله بن محمد كعكي,8300-en,board_shareholding,,,Board of Directors
عبير حمزة محمد مسعودي,عبير حمزة محمد مسعودي,9628-ar,substantial_shareholder,,,
عبير حمزة محمد مسعودي,عبير حمزة محمد مسعودي,9628-en,substantial_shareholder,,,
عبير سعود العيسى,عبير سعود العيسى,4071-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
عبير عبدالاله كعكي,عبير عبدالاله كعكي,8300-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
عثمان بن عبدالمحسن العبدالكريم,عثمان بن عبدالمحسن العبدالكريم,9538-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
عثمان بن يحى بن إبراهيم النجدى,عثمان بن يحى بن إبراهيم النجدى,2081-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
عثمان رياض الحميدان,عثمان رياض الحميدان,2150-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
عثمان رياض محمد الحميدان,عثمان رياض محمد الحميدان,1210-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
عثمان رياض محمد الحميدان,عثمان رياض محمد الحميدان,1210-ar,board_shareholding,,,أعضاء مجلس الإدارة
عثمان رياض محمد الحميدان,عثمان رياض محمد الحميدان,1210-en,board_shareholding,,,Board of Directors
عثمان رياض محمد الحميدان,عثمان رياض محمد الحميدان,2150-ar,board_shareholding,,,أعضاء مجلس الإدارة
عثمان رياض محمد الحميدان,عثمان رياض محمد الحميدان,2150-en,board_shareholding,,,Board of Directors
عثمان صديقي اشفاق احمد شيخ,عثمان صديقي اشفاق احمد شيخ,9614-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
